"id","name","model","brand","slug","product_id"
"655ae57268e0956b97a4fdfe","corrugated box","NC4","Amazon","amazon-corrugated-box-nc4","NC4"
"655ae57268e0956b97a4fe00","corrugated box","NC8","Amazon","amazon-corrugated-box-nc8","NC8"
"655ae57268e0956b97a4fdff","corrugated box","NC5","Amazon","amazon-corrugated-box-nc5","NC5"
"655ae57268e0956b97a4fe0a","corrugated box","NC32A","Amazon","amazon-corrugated-box-nc32a","NC32A"
"655ae57268e0956b97a4fe22","corrugated box","NT14","Amazon","amazon-corrugated-box-nt14","NT14"
"655ae57268e0956b97a4fe21","corrugated box","NT13","Amazon","amazon-corrugated-box-nt13","NT13"
"692816b02c520e0c584b6567","Corrugated Box","D1","Flipkart","flipkart-corrugated-box-d1","D1"
"697321346a6ca8ed353df1a3","corrugated box","BS13","Amazon","amazon-corrugated-box-bs13","BS13"
"6973271e6a6ca8ed353df25d","corrugated box","BS17","Amazon","amazon-corrugated-box-bs17","BS17"
"655ae57268e0956b97a4fe1d","corrugated box","NT1","Amazon","amazon-corrugated-box-nt1","NT1"
"655ae57268e0956b97a4fe0b","corrugated box","NC34A","Amazon","amazon-corrugated-box-nc34a","NC34A"
"655ae57268e0956b97a4fe1e","corrugated box","NT2","Amazon","amazon-corrugated-box-nt2","NT2"
"655ae57268e0956b97a4fe20","corrugated box","NT4","Amazon","amazon-corrugated-box-nt4","NT4"
"655ae57268e0956b97a4fe1f","corrugated box","NT3","Amazon","amazon-corrugated-box-nt3","NT3"
"6557e30fdbf4d95c4c4cefa6","corrugated box","D5","Flipkart","flipkart-corrugated-box-d5","D5"
"6557e30fdbf4d95c4c4cefa3","corrugated box","D2","Flipkart","flipkart-corrugated-box-d2","D2"
"6557e30fdbf4d95c4c4cefa5","corrugated box","D4","Flipkart","flipkart-corrugated-box-d4","D4"
"6557e30fdbf4d95c4c4cefac","corrugated box","D11","Flipkart","flipkart-corrugated-box-d11","D11"
"655ae57268e0956b97a4fddb","corrugated box","D16","Flipkart","flipkart-corrugated-box-d16","D16"
"655ae57268e0956b97a4fddc","corrugated box","D17","Flipkart","flipkart-corrugated-box-d17","D17"
"6557e30fdbf4d95c4c4cefad","corrugated box","D12","Flipkart","flipkart-corrugated-box-d12","D12"
"6557e30fdbf4d95c4c4cefb0","corrugated box","D15","Flipkart","flipkart-corrugated-box-d15","D15"
"6557e30fdbf4d95c4c4cefa7","Corrugated Box","D6","Flipkart","flipkart-corrugated-box-d6","D6"
"6557e30fdbf4d95c4c4cefab","Corrugated Box","D10","Flipkart","flipkart-corrugated-box-d10","D10"
"655ae57268e0956b97a4fe24","corrugated box","TPC7","Amazon","amazon-corrugated-box-tpc7","TPC7"
"655ae57268e0956b97a4fe23","corrugated box","TPC6","Amazon","amazon-corrugated-box-tpc6","TPC6"
"6557e30fdbf4d95c4c4cefa8","corrugated box","D7","Flipkart","flipkart-corrugated-box-d7","D7"
"6557e30fdbf4d95c4c4cefaf","corrugated box","D14","Flipkart","flipkart-corrugated-box-d14","D14"
"6557e30fdbf4d95c4c4cefa9","corrugated box","D8","Flipkart","flipkart-corrugated-box-d8","D8"
"6557e30fdbf4d95c4c4cefa4","corrugated box","D3","Flipkart","flipkart-corrugated-box-d3","D3"
"655ae57268e0956b97a4fddd","corrugated box","D18","Flipkart","flipkart-corrugated-box-d18","D18"
"655ae57268e0956b97a4fde7","corrugated box","D28","Flipkart","flipkart-corrugated-box-d28","D28"
"655ae57268e0956b97a4fde8","corrugated box","D29","Flipkart","flipkart-corrugated-box-d29","D29"
"655ae57268e0956b97a4fde5","corrugated box","D26","Flipkart","flipkart-corrugated-box-d26","D26"
"655ae57268e0956b97a4fde6","corrugated box","D27","Flipkart","flipkart-corrugated-box-d27","D27"
